Rule #,Name,Location,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Target,Rule Usage Description,Rule Usage Rule Usage,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
84,Allow_Guest_to_Guest_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Guest,LA_Legacy_Vendors,domain\finance,any,Guest,10.246.79.25/32,any,LA_App_Any_And_Web,LA_SNMP_Group,allow,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC689096 (expires in 30d),72,unknown-tcp,200,2025-10-09 16:23:58,2024-04-21 16:23:58
85,Allow_DMZ_to_Mgmt_IMAP,la-datacenterfw,,universal,DMZ,10.210.34.12/32,svc_batch,any,Mgmt,srv-la-app13.corp.local,any,imap,ntp-udp-123,allow,default,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC114615 pending remediation,3207,dns,329,2025-01-28 19:49:58,2024-12-23 19:49:58
86,Allow_Mgmt_to_DMZ_IMAP,la-datacenterfw,,universal,Mgmt,LA_Internal_Servers,any,any,DMZ,any,any,imap,netbios-ns-udp-137,allow,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,2442,"ftp, smb",174,2025-08-20 21:10:58,2024-01-07 21:10:58
87,Allow_DMZ_to_Trust_HTTP,la-datacenterfw,,universal,DMZ,10.130.246.26/32,any,any,Trust,db.la.corp.local,any,pop3,https-tcp-443,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC917139,7016,dns,40,2024-12-31 16:00:58,2023-11-29 16:00:58
88,Allow_Internet_to_Trust_FTP,la-datacenterfw,,universal,Untrust,any,domain\finance,any,DMZ,any,any,any,netbios-ssn-udp-139,allow,none,none,PA-3410,Legacy rule—owner unknown,0,dns,59,2025-02-17 18:58:58,2023-11-17 18:58:58
89,Allow_Internet_to_DMZ_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Untrust,10.72.170.15/32,domain\itops,any,DMZ,any,any,LA_App_Any_And_Web,service-any,allow,best-practice,none,PA-3410,Exception tracked in INC871958 pending remediation,5281,unknown-tcp,312,2025-09-11 14:37:58,2023-11-05 14:37:58
90,Allow_Internet_to_Guest_SMB,la-datacenterfw,,universal,Untrust,any,domain\finance,any,Trust,any,any,any,telnet-tcp-23,allow,none,Traffic log sent at session end,PA-3410,,0,dns,28,2025-03-20 23:17:58,2024-12-27 23:17:58
91,Allow_Internet_to_DMZ_SSH,la-datacenterfw,,universal,Untrust,srv-la-app14.corp.local,svc_backup,any,DMZ,any,any,ssh,ntp-udp-123,allow,default,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,0,dns,330,2025-09-13 19:33:58,2022-09-08 19:33:58
92,Allow_Trust_to_Guest_FTP,la-datacenterfw,,universal,Trust,srv-la-app08.corp.local,any,any,Guest,srv-la-app02.corp.local,any,ssl,ftp-data-tcp-20,allow,best-practice,none,PA-3410,Temporary workaround—no ticket provided,499,dns,331,2025-05-23 09:09:58,2023-02-28 09:09:58
93,Allow_Guest_to_Guest_ANY-App,la-datacenterfw,,universal,Guest,srv-la-app17.corp.local,any,any,Guest,10.85.27.28/32,any,any,netbios-ns-udp-137,allow,default,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,119,unknown-tcp,201,2024-11-27 23:32:58,2022-03-24 23:32:58
94,Allow_Mgmt_to_Trust_ANY-App,la-datacenterfw,,universal,Mgmt,LA_Internal_Servers,domain\itops,any,Trust,LA_Branch_1_Subnets,any,any,ntp-udp-123,allow,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,0,"ftp, smb",130,2025-01-30 02:27:58,2023-03-09 02:27:58
95,Allow_Internet_to_Guest_HTTP,la-datacenterfw,,universal,Untrust,LA_External_Vendors,svc_batch,any,Guest,updates.la.vendor.local,any,dns,https-tcp-443,allow,strict,log at both ends,PA-3410,Operational requirement documented in INC763511,69,(none),147,2024-12-22 02:18:58,2022-07-25 02:18:58
96,Allow_DMZ_to_Trust_SMTP,la-datacenterfw,,universal,DMZ,srv-la-app15.corp.local,any,any,Trust,10.1.8.0/24,any,smtp,snmp-udp-161,allow,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,4229,ssh,272,2024-11-29 16:54:58,2023-04-06 16:54:58
97,Allow_Internet_to_Trust_SMTP,la-datacenterfw,,universal,Untrust,any,domain\finance,any,Trust,any,any,any,smb-tcp-445,allow,none,log at both ends,PA-3410,Temporary workaround—no ticket provided,9061,"web-browsing, ssl",183,2025-06-30 21:10:58,2024-11-22 21:10:58
98,Allow_Mgmt_to_Trust_HTTP,la-datacenterfw,,universal,Mgmt,LA_Anylike,domain\itops,any,Trust,srv-la-app20.corp.local,any,web-browsing,pop3-tcp-110,allow,default,log at both ends,PA-3410,Created during migration; documentation missing,6187,(none),248,2025-02-22 09:06:58,2024-01-31 09:06:58
99,Allow_Mgmt_to_DMZ_HTTP,la-datacenterfw,,universal,Mgmt,10.197.19.13/32,svc_batch,any,DMZ,10.0.0.0/8,any,ssl,https-tcp-443,allow,strict,Traffic log sent at session end,PA-3410,Legacy rule—owner unknown,910,dns,145,2025-01-11 06:26:58,2023-12-06 06:26:58
100,Allow_Mgmt_to_Trust_DNS,la-datacenterfw,,universal,Untrust,any,svc_batch,any,DMZ,any,any,any,ms-rpc-tcp-135,allow,none,log at both ends,PA-3410,,2321,"rdp, vnc",146,2025-05-06 06:27:58,2023-10-28 06:27:58
101,Allow_DMZ_to_Mgmt_SSH,la-datacenterfw,,universal,DMZ,LA_Internet_Tiers,any,any,Mgmt,10.174.224.0/18,any,ssh,netbios-ns-tcp-137,allow,default,log at both ends,PA-3410,Legacy rule—owner unknown,39,"rdp, vnc",42,2024-11-06 22:41:58,2024-05-20 22:41:58
102,Allow_Trust_to_Trust_POP3,la-datacenterfw,,universal,Trust,any,any,any,Trust,10.15.0.0/19,any,pop3,snmp-tcp-161,allow,best-practice,log at both ends,PA-3410,Change approved under INC499044,8232,dns,71,2025-02-14 19:34:58,2023-02-28 19:34:58
103,Allow_Mgmt_to_Guest_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Mgmt,10.1.5.0/24,svc_backup,any,Guest,10.196.32.0/17,any,LA_App_Any_And_Web,LA_Remote_Access_Insecure,allow,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,363,dns,59,2025-09-28 15:20:58,2023-04-13 15:20:58
104,Allow_Trust_to_Guest_SSL,la-datacenterfw,,universal,Trust,LA_Branch_1_Subnets,any,any,Guest,10.171.112.0/19,any,ssl,netbios-ssn-tcp-139,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Created during migration; documentation missing,8167,ssh,160,2025-01-18 12:54:58,2022-01-10 12:54:58
105,Allow_Guest_to_Mgmt_SSH,la-datacenterfw,,universal,Guest,LA_Anylike,svc_backup,any,Mgmt,10.57.192.0/19,any,ssh,ms-rpc-tcp-135,allow,strict,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Change approved under INC757318,0,"rdp, vnc",123,2024-12-10 06:04:58,2021-09-07 06:04:58
106,Allow_DMZ_to_Guest_SSH,la-datacenterfw,,universal,DMZ,any,svc_batch,any,Guest,10.26.64.0/18,any,ssh,LA_Email_Legacy,allow,best-practice,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC653080,603,dns,334,2025-05-04 01:42:58,2022-05-20 01:42:58
107,Allow_Internet_to_Trust_HTTP,la-datacenterfw,,universal,Untrust,net-tier-10_1_3_0_24,svc_backup,any,Trust,10.139.64.0/19,any,imap,http-tcp-80,allow,default,Traffic log sent at session end,PA-3410,Operational requirement documented in INC455535,2777,"web-browsing, ssl",20,2025-09-26 22:17:58,2023-06-24 22:17:58
108,Allow_Trust_to_Trust_HTTP,la-datacenterfw,,universal,any,LA_Internet_Tiers,any,any,Trust,10.234.0.0/21,any,web-browsing,imap-alt-tcp-145,allow,strict,Traffic log sent at session end,PA-3410,Temporary allow per INC510883 (expires in 30d),448,ssh,233,2025-09-24 23:26:58,2024-10-15 23:26:58
109,Allow_Trust_to_DMZ_ANY-App,la-datacenterfw,,universal,Trust,LA_Branch_3_Subnets,svc_backup,any,DMZ,10.1.208.0/18,any,any,socks-proxy-tcp-1080,allow,antivirus,log at both ends,PA-3410,Exception tracked in INC435064 pending remediation,408,ssh,60,2024-12-28 16:27:58,2021-11-25 16:27:58
110,Allow_DMZ_to_Trust_HTTP,la-datacenterfw,,universal,DMZ,srv-la-app01.corp.local,any,any,Trust,10.35.32.0/21,any,dns,http-tcp-80,allow,none,none,PA-3410,Legacy rule—owner unknown,0,unknown-tcp,48,2025-08-06 03:06:58,2022-04-25 03:06:58
111,Allow_Internet_to_DMZ_POP3,la-datacenterfw,,universal,Untrust,any,svc_backup,any,DMZ,10.180.48.0/20,any,pop3,ms-rpc-udp-135,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Legacy rule—owner unknown,3179,"web-browsing, ssl",331,2025-09-09 12:51:58,2022-10-09 12:51:58
112,Allow_Internet_to_Guest_SMB,la-datacenterfw,,universal,Untrust,LA_Internet_Tiers,domain\itops,any,Guest,10.157.80.0/20,any,ssh,smb-tcp-445,allow,antivirus,none,PA-3410,Temporary workaround—no ticket provided,473,unknown-tcp,219,2025-08-29 17:51:58,2022-11-04 17:51:58
113,Allow_Trust_to_Trust_Telnet,la-datacenterfw,,universal,Trust,net-tier-10_1_2_0_24,svc_backup,any,Trust,10.115.192.0/20,any,LA_App_Any_And_Web,telnet-tcp-23,allow,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,0,dns,395,2025-03-23 14:08:58,2024-07-16 14:08:58
114,Allow_DMZ_to_Trust_SSH,la-datacenterfw,,universal,DMZ,10.230.156.23/32,svc_backup,any,Trust,10.244.224.0/19,any,ssh,netbios-ns-udp-137,allow,best-practice,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,5937,ssh,213,2025-09-07 06:22:58,2022-08-05 06:22:58
115,Allow_Guest_to_DMZ_SMTP,la-datacenterfw,,universal,Untrust,any,any,any,Trust,any,any,any,irc-tcp-6660-6669,allow,none,Traffic log sent at start,PA-3410,,3496,"ftp, smb",274,2025-03-20 16:54:58,2023-06-23 16:54:58
116,Allow_Internet_to_Mgmt_HTTP,la-datacenterfw,,universal,Untrust,any,svc_batch,any,Mgmt,10.63.176.0/17,any,web-browsing,udp-any,allow,antivirus,log at both ends,PA-3410,Created during migration; documentation missing,335,"rdp, vnc",131,2025-03-23 11:19:58,2025-02-16 11:19:58
117,Allow_Guest_to_Trust_HTTP,la-datacenterfw,,universal,Guest,srv-la-app15.corp.local,domain\finance,any,Trust,10.238.176.0/20,any,web-browsing,https-tcp-443,allow,antivirus,Traffic log sent at session end,PA-3410,Observed traffic baseline only,53,(none),41,2024-11-25 02:48:58,2021-10-08 02:48:58
118,Allow_DMZ_to_Mgmt_FTP,la-datacenterfw,,universal,Untrust,any,any,any,DMZ,any,any,any,smb-tcp-445,allow,none,Traffic log sent at session end,PA-3410,Temporary workaround—no ticket provided,5884,"web-browsing, ssl",135,2025-10-07 05:10:58,2022-08-18 05:10:58
119,Allow_Trust_to_Mgmt_SSL,la-datacenterfw,,universal,Trust,srv-la-app13.corp.local,any,any,Mgmt,10.193.96.0/20,any,ssl,LA_Email_Legacy,allow,threat-prevention,log at both ends,PA-3410,Created during migration; documentation missing,5965,(none),311,2025-07-29 19:18:58,2023-12-20 19:18:58
120,Allow_Guest_to_DMZ_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Guest,LA_All_Addresses,domain\itops,any,DMZ,10.223.96.0/17,any,LA_App_Any_And_Web,netbios-ssn-udp-139,allow,default,none,PA-3410,Temporary allow per INC638501 (expires in 30d),114,unknown-tcp,322,2025-10-06 09:32:58,2023-12-05 09:32:58
